id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
0,F,1.5,1.1875,0.425,29.21415975,13.99047825,5.88252125,8.0796075,11.0
1,I,0.4875,0.275,0.0875,0.92135875,0.38271825,0.1417475,0.1417475,5.0
2,F,1.2125,0.8875,0.35,13.11164375,4.0539785,3.24601775,4.1106775,14.0
3,F,1.7,1.4125,0.4375,50.121916,21.4038725,11.60912025,10.77281,12.0
4,F,1.575,1.275,0.475,33.92017675,13.79203175,7.7961125,10.489315,10.0
5,F,1.675,1.35,0.45,45.91201525,21.262125,11.38232425,11.90679,11.0
6,M,1.35,1.05,0.3625,20.3265915,8.7032965,4.8477645,7.2291225,10.0
7,F,1.4875,1.15,0.3875,27.03124825,13.42348825,6.80388,7.5126175,10.0
8,M,1.6625,1.3125,0.425,38.838815,16.0174675,7.654365,10.035723,11.0
9,M,1.425,1.15,0.375,27.6974615,12.94154675,5.6982495,7.654365,11.0
10,F,1.175,0.9,0.3125,12.00601325,4.9611625,2.6365035,4.819415,9.0
11,F,1.575,1.25,0.4125,34.06192425,15.7339725,6.406987,10.20582,12.0
12,M,0.9375,0.7125,0.2625,11.169703,4.706017,1.8427175,3.118445,7.0
13,M,1.4375,1.3125,0.4125,31.79396425,15.26620575,7.10154975,7.654365,8.0
14,I,0.9375,0.7,0.2375,6.0384435,2.664853,1.31825175,1.984465,5.0
15,F,1.575,1.2,0.4125,36.61337925,15.80484625,8.74582075,9.355335,11.0
16,I,0.95,0.75,0.2625,8.77417025,3.44446425,1.190679,2.67902775,7.0
17,M,1.4125,1.1,0.3625,25.92561775,9.99319875,5.8683465,7.5126175,12.0
18,I,1.1875,0.9375,0.3125,14.6566915,6.7188315,2.96252275,4.706017,8.0
19,I,1.4375,1.125,0.375,27.62658775,10.262519,6.3786375,9.7805775,12.0
20,I,0.4,0.3125,0.1,0.510291,0.18427175,0.15592225,0.1417475,4.0
21,F,1.3125,0.9875,0.3875,14.17475,4.63514325,4.52174525,5.5281525,12.0
22,F,1.6125,1.3625,0.525,48.26502375,16.93882625,7.2858215,17.860185,21.0
23,F,1.6375,1.275,0.4625,38.90968875,16.20173925,8.83086925,12.6155275,19.0
24,F,1.775,1.375,0.5,48.26502375,21.61649375,8.1363065,13.324265,9.0
25,F,1.4875,1.1375,0.3375,28.05183025,12.3320325,5.5281525,7.55514175,13.0
26,M,1.575,1.1875,0.475,36.457457,13.664459,8.1930055,9.2135875,19.0
27,M,1.35,1.0375,0.35,20.14231975,7.78193775,4.12485225,6.19436575,10.0
28,M,1.45,1.1625,0.425,27.839209,11.113004,7.2291225,8.0796075,16.0
29,F,1.15,0.875,0.3125,13.39513875,6.0951425,2.65067825,3.685435,8.0
30,M,1.575,1.2125,0.35,34.79901125,18.0586315,7.24329725,8.9300925,8.0
31,M,1.0125,0.7625,0.325,9.73805325,4.29494925,2.33883375,3.38776525,11.0
32,I,1.35,1.075,0.35,24.5790165,9.298636,5.11708475,7.087375,9.0
33,F,1.675,1.3625,0.475,43.21881275,14.231449,12.48795475,14.17475,16.0
34,I,0.775,0.5,0.175,3.38776525,1.360776,0.66621325,0.850485,8.0
35,M,1.475,1.1375,0.375,27.03124825,12.82814875,4.5642695,7.93786,9.0
36,F,1.25,0.975,0.3,17.5483405,8.34892775,3.01922175,4.9611625,9.0
37,F,1.375,1.0875,0.4125,24.73493875,12.34620725,5.896696,6.23689,9.0
38,F,1.775,1.4125,0.5,47.95317925,21.8007655,10.375917,12.757275,10.0
39,F,1.55,1.275,0.4125,34.60056475,13.437663,8.37727725,10.19164525,11.0
40,F,1.4125,1.05,0.3625,24.38057,11.793392,4.479221,6.93145275,8.0
41,F,1.2625,0.975,0.35,19.43358225,8.278054,5.8683465,5.8116475,10.0
42,M,1.575,1.1625,0.4,32.36095425,12.06271225,8.37727725,8.9300925,10.0
